
__MAGICC 7.X DATA OUTPUT FILE__

OUTPUT:  DAT_SURFACE_TEMP
RUN:   SLR_AISSID_RCP26                                                                                                              
RUN_ID:                               1
DATE:   No Date specified.                                                                                                            
MAGICC-VERSION:   7.0.0.1 BETA, MAY 2016                                                                              

&THISFILE_SPECIFICATIONS
 THISFILE_DATACOLUMNS=          0,
 THISFILE_FIRSTYEAR=       1850,
 THISFILE_LASTYEAR=       2500,
 THISFILE_ANNUALSTEPS=          1,
 THISFILE_FIRSTDATAROW=         21,
 THISFILE_UNITS="K                                                                                                   ",
 THISFILE_DATTYPE="FOURBOXDATA                                                                                         ",
 /

   YEARS   GLOBAL    NH-OCEAN   NH-LAND   SH-OCEAN   SH-LAND
      1924      0.41100750E+00      0.36850209E+00      0.47707113E+00      0.34302814E+00      0.65200806E+00
      1925      0.40580980E+00      0.18654697E+00      0.83809408E+00      0.20496336E+00      0.90238953E+00
      1926      0.35261075E+00      0.25338900E+00      0.62763468E+00      0.24765820E+00      0.47142537E+00
      1927      0.48823622E+00      0.46566214E+00      0.59857941E+00      0.44899373E+00      0.47752380E+00
      1928      0.45362693E+00      0.28146878E+00      0.88571421E+00      0.24245593E+00      0.85934194E+00
      1929      0.39977387E+00      0.18663882E+00      0.85247040E+00      0.24265918E+00      0.67409007E+00
      1930      0.29417851E+00      0.36817117E+00      0.98546346E-01      0.36392455E+00      0.21870422E+00
      1931      0.47359951E+00      0.44952253E+00      0.60648346E+00      0.37471159E+00      0.64633687E+00
      1932      0.41388470E+00      0.24750582E+00      0.82891083E+00      0.17693206E+00      0.93474833E+00
      1933      0.26259783E+00      0.17862992E+00      0.47679138E+00      0.15632325E+00      0.46591695E+00
      1934      0.19279380E+00      0.19906873E+00      0.27559662E+00      0.16230863E+00      0.12453969E+00
      1935      0.31368779E+00      0.19690697E+00      0.64894104E+00      0.13970811E+00      0.62021383E+00
      1936      0.22457095E+00      0.28062014E+00      0.11443329E+00      0.31398628E+00     -0.46328227E-01
      1937      0.37412870E+00      0.30314023E+00      0.36281331E+00      0.32522758E+00      0.77678426E+00
      1938      0.42367857E+00      0.28636200E+00      0.58940125E+00      0.32272466E+00      0.85126750E+00
